start
5 = MKS-20211004-Space_Time_Pronouns_1-M
4 = MKS-20211004-Space_Time_Pronouns_1-M
Pitch object already exists
Pitch object ID is 6
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ēn	start: 26.950442944768533	end: 27.12453240029695
step #1/17	fMin: 179.28860443418134	fMax: 180.67452371496134	fMean: 179.7236021331402	stdev: 0.5678044121830281
step #2/17	fMin: 180.67452371496134	fMax: 191.73006763057836	fMean: 186.412956564304	stdev: 5.227976648389659
step #3/17	fMin: 178.72068142646503	fMax: 181.73648563324983	fMean: 179.69285389875344	stdev: 1.0997194436048168
step #4/17	fMin: 177.97355865077444	fMax: 178.74614641579785	fMean: 178.48098249968874	stdev: 0.3288515325963565
step #5/17	fMin: 176.9096572966206	fMax: 177.9735586507748	fMean: 177.53550605910957	stdev: 0.4341204554437453
step #6/17	fMin: 175.88233594726717	fMax: 176.9096572966206	fMean: 176.25991664192213	stdev: 0.4115105181886473
step #7/17	fMin: 175.28030827555153	fMax: 175.88233594726748	fMean: 175.6705518619411	stdev: 0.23023644577316071
step #8/17	fMin: 174.11963495258257	fMax: 175.28030827555153	fMean: 174.7167905496891	stdev: 0.4598406622139723
step #9/17	fMin: 172.75859634755267	fMax: 174.11963495258328	fMean: 173.46159915089135	stdev: 0.5664122902512183
step #10/17	fMin: 171.16967284067604	fMax: 172.75859634755267	fMean: 171.90714199565252	stdev: 0.6020575128688118
step #11/17	fMin: 169.4769593560048	fMax: 171.16967284067604	fMean: 170.40023243737107	stdev: 0.6639932116110684
step #12/17	fMin: 167.8744327931924	fMax: 169.47695935600544	fMean: 168.6578499642792	stdev: 0.7289424225328253
step #13/17	fMin: 165.62228122714862	fMax: 167.8744327931924	fMean: 166.70048235940166	stdev: 0.8548240839448115
step #14/17	fMin: 163.97189428818365	fMax: 165.62228122714933	fMean: 164.73076059069842	stdev: 0.6248701548369856
step #15/17	fMin: 162.90775172968657	fMax: 163.97189428818365	fMean: 163.41314367273202	stdev: 0.5209005817060822
step #16/17	fMin: 161.6815533915324	fMax: 162.90775172968677	fMean: 162.11391256745338	stdev: 0.4909110356672411
step #17/17	fMin: 161.23300335636742	fMax: 161.6815533915324	fMean: 161.42179726872158	stdev: 0.1974277508848077
interval #3	label: în	start: 27.12453240029695	end: 27.334150316137286
step #1/20	fMin: 161.06549835134751	fMax: 161.46620086522367	fMean: 161.2091772941302	stdev: 0.15869403054398282
step #2/20	fMin: 161.46620086522367	fMax: 162.4791916878681	fMean: 161.904973740263	stdev: 0.409727628792365
step #3/20	fMin: 162.4791916878673	fMax: 164.98773737923	fMean: 163.60037897312864	stdev: 0.9424701777501802
step #4/20	fMin: 164.98773737923	fMax: 170.18116346056757	fMean: 167.30738809911074	stdev: 2.1896422762611456
step #5/20	fMin: 170.1811634605657	fMax: 177.07295602252097	fMean: 173.60779993799682	stdev: 2.747737156461276
step #6/20	fMin: 177.07295602252097	fMax: 183.05339701795336	fMean: 180.34773247099452	stdev: 2.3321341126647197
