start
9 = MKS-20211006-Memories_of_Tortilla_Making-M
8 = MKS-20211006-Memories_of_Tortilla_Making-M
Pitch object already exists
Pitch object ID is 10
2 tiers
Tier number 1 is named sentence
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ú	start: 6.517579255268037	end: 6.623709353701461
step #1/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #4/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #5/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #6/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #7/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #8/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #9/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #10/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #3	label: ì	start: 6.623709353701461	end: 6.8180993135967745
step #1/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #4/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #5/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #6/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #7/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #8/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #9/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #10/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #11/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #12/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #13/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #16/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #18/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #19/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #5	label: ú	start: 8.146890238122946	end: 8.234633320846665
step #1/8	fMin: 222.94544721339392	fMax: 231.47825968228017	fMean: 228.7625269193952	stdev: 3.36232375580565
step #2/8	fMin: 227.81926360138033	fMax: 228.27151129620924	fMean: 228.1471920840803	stdev: 0.18838493346869334
step #3/8	fMin: 227.8217168855059	fMax: 228.27633363248324	fMean: 228.11922465911795	stdev: 0.1861469286082099
step #4/8	fMin: 227.8393351505812	fMax: 228.18982959309636	fMean: 228.00602210833102	stdev: 0.15603935710437866
step #5/8	fMin: 228.18982959309636	fMax: 228.94959764712144	fMean: 228.65741534295253	stdev: 0.313830647458161
step #6/8	fMin: 228.62610190011156	fMax: 229.6800553317713	fMean: 228.92106213598535	stdev: 0.42755956891264585
step #7/8	fMin: 229.6800553317713	fMax: 230.29361834637297	fMean: 230.06747413220344	stdev: 0.22801923617577508
step #8/8	fMin: 230.29361834637297	fMax: 231.65965288118926	fMean: 230.79587796340334	stdev: 0.5869914752535554
