start
7 = MKS-20211018-music_and_verbs-M
4 = MKS-20211018-music_and_verbs-M_mono
Pitch object already exists
Pitch object ID is 6
4 tiers
Tier number 1 is named IU
Tier number 2 is named word
Tier number 3 is named Vowel
Tier number 4 is named Vowel1
The vowel tier has number 3
interval #2	label: ì	start: 28.7792031355525	end: 28.8463229397771
step #1/6	fMin: 101.58587125950956	fMax: 101.65128183752313	fMean: 101.59958262111556	stdev: --undefined--
step #2/6	fMin: 101.65128183752313	fMax: 102.32171919924457	fMean: 102.01751552290823	stdev: 0.29089085675222853
step #3/6	fMin: 102.0441210034528	fMax: 102.3910653395692	fMean: 102.25924765360938	stdev: 0.14546226101349913
step #4/6	fMin: 100.89795114572509	fMax: 102.0441210034528	fMean: 101.52254517203386	stdev: 0.488331018909608
step #5/6	fMin: 99.83812567245086	fMax: 100.89795114572573	fMean: 100.36612281821733	stdev: 0.4094321461520324
step #6/6	fMin: 99.17216446678826	fMax: 99.83812567245086	fMean: 99.38275117298349	stdev: 0.2768112564298605
interval #4	label: ì	start: 28.901841790185102	end: 28.96979023396803
step #1/6	fMin: 179.5504981327016	fMax: 183.54655302667905	fMean: 182.1329454734338	stdev: 1.5465574466853471
step #2/6	fMin: 183.13872181804612	fMax: 183.7126621560357	fMean: 183.5644218410766	stdev: 0.24027298547187637
step #3/6	fMin: 181.50879081974475	fMax: 183.13872181804712	fMean: 182.25726065335655	stdev: 0.6813394853134933
step #4/6	fMin: 181.31700726046085	fMax: 181.75119532832161	fMean: 181.46549041735906	stdev: 0.17011733668115628
step #5/6	fMin: 181.75119532832161	fMax: 184.1445384083376	fMean: 182.76660547189073	stdev: 0.9467052350762
step #6/6	fMin: 184.1445384083376	fMax: 188.4179797355314	fMean: 186.1776406530524	stdev: 1.663816712760527
interval #6	label: í	start: 29.058374812752785	end: 29.15201108284389
step #1/9	fMin: 236.8319711636621	fMax: 260.603503115619	fMean: 254.98083067847304	stdev: 9.994242291587572
step #2/9	fMin: 260.603503115619	fMax: 262.9649742489341	fMean: 262.15843127576034	stdev: 0.9568448939647698
step #3/9	fMin: 262.9649742489335	fMax: 263.6240531280981	fMean: 263.37063064872956	stdev: 0.2790193582771311
step #4/9	fMin: 263.6240531280981	fMax: 263.96684257482343	fMean: 263.789359399494	stdev: 0.17498502248478395
step #5/9	fMin: 263.2834215366547	fMax: 264.0309121667939	fMean: 263.8018714965975	stdev: 0.30975294969251665
step #6/9	fMin: 261.50862423799373	fMax: 263.2834215366547	fMean: 262.43172434570187	stdev: 0.7202327482247782
step #7/9	fMin: 259.76974214714454	fMax: 261.5086242379948	fMean: 260.58066575251235	stdev: 0.708415709741243
step #8/9	fMin: 258.03527610415296	fMax: 259.76974214714454	fMean: 258.9959271455618	stdev: 0.672210923447577
step #9/9	fMin: 253.79444704298257	fMax: 258.03527610415466	fMean: 256.19924675686235	stdev: 1.6671431669735808
interval #8	label: ī	start: 29.284982854974803	end: 29.424194300773973
step #1/13	fMin: 245.47565481621174	fMax: 249.3249309198016	fMean: 247.98880556097606	stdev: --undefined--
step #2/13	fMin: 240.52622824254337	fMax: 245.47565481621174	fMean: 242.2065449417477	stdev: 2.0005324037812175
step #3/13	fMin: 239.77286404035164	fMax: 240.52622824254414	fMean: 240.15142887424003	stdev: 0.26096784561608377
step #4/13	fMin: 238.2183834896952	fMax: 239.77286404035164	fMean: 238.9465600471601	stdev: 0.6094883338333159
step #5/13	fMin: 236.78610117163328	fMax: 238.2183834896963	fMean: 237.39995014426532	stdev: 0.5796038042878103
step #6/13	fMin: 235.43914836155315	fMax: 236.78610117163328	fMean: 236.11782495311257	stdev: 0.5251523788719427
step #7/13	fMin: 235.17561563053056	fMax: 235.43914836155315	fMean: 235.32835191466708	stdev: 0.09445649355310536
step #8/13	fMin: 234.04925827891995	fMax: 235.2809382367047	fMean: 234.76267826275188	stdev: 0.5425956047151178
step #9/13	fMin: 232.7288670218101	fMax: 234.04925827891995	fMean: 233.42455971419145	stdev: 0.5127230289527182
step #10/13	fMin: 231.25242302149195	fMax: 232.7288670218101	fMean: 231.9298190668908	stdev: 0.5875921913798187
step #11/13	fMin: 228.54494929950874	fMax: 231.25242302149195	fMean: 229.94143618889058	stdev: 1.1374812486119585
