start
2 = MKS-20211020-Plants_and_Animals_4-M
1 = MKS-20211020-Plants_and_Animals_4-M
Pitch object already exists
Pitch object ID is 3
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ìín	start: 44.4978102051447	end: 44.87760138891721
step #1/37	fMin: 200.95144263046873	fMax: 205.37054399084428	fMean: 204.16445536652952	stdev: 2.02221071031249
step #2/37	fMin: 193.49533517875093	fMax: 200.95144263046873	fMean: 196.21631085371112	stdev: 3.0392884268507716
step #3/37	fMin: 190.19473869830108	fMax: 193.49533517874852	fMean: 191.83849580046186	stdev: 1.2313547261810744
step #4/37	fMin: 186.0606172355035	fMax: 190.19473869830108	fMean: 188.25416501041022	stdev: 1.7117190042346424
step #5/37	fMin: 182.0735427436248	fMax: 186.0606172355035	fMean: 184.2450092739392	stdev: 1.5677819889141338
step #6/37	fMin: 177.1309111132342	fMax: 182.0735427436248	fMean: 179.77079316243348	stdev: 1.7755413281540298
step #7/37	fMin: 170.5587140388453	fMax: 177.13091111322998	fMean: 174.11770419733944	stdev: 2.4681202343018227
step #8/37	fMin: 166.79561877666418	fMax: 170.5587140388453	fMean: 168.27526749208255	stdev: 1.538946075756755
step #9/37	fMin: 162.5268462541387	fMax: 166.79561877666418	fMean: 164.26628525325327	stdev: 1.8500442653561195
step #10/37	fMin: 160.76105647717984	fMax: 162.52684625413718	fMean: 161.58701461383154	stdev: 0.6595467085463339
step #11/37	fMin: 159.05451587687477	fMax: 160.76105647717984	fMean: 159.99518822680508	stdev: 0.7729345380192546
step #12/37	fMin: 156.53065226587512	fMax: 159.05451587687477	fMean: 157.77438597783828	stdev: 0.9349633114262104
step #13/37	fMin: 155.39418330303567	fMax: 156.53065226587512	fMean: 155.8491667587801	stdev: 0.5049373005947019
step #14/37	fMin: 154.90214308603225	fMax: 155.46988953673957	fMean: 155.16836495548057	stdev: 0.2806170176429413
step #15/37	fMin: 154.3009662044334	fMax: 154.90214308603225	fMean: 154.57556113211905	stdev: 0.21888637546354245
step #16/37	fMin: 153.65268401550196	fMax: 154.3009662044334	fMean: 153.97592369537617	stdev: 0.24944560264965782
step #17/37	fMin: 152.33927125580018	fMax: 153.65268401550196	fMean: 152.98776972230243	stdev: 0.48423227422589143
step #18/37	fMin: 152.21001913659524	fMax: 152.33927125579993	fMean: 152.2393691076923	stdev: 0.05995519212106477
step #19/37	fMin: 152.27938706934242	fMax: 153.61422263914852	fMean: 152.83910934911043	stdev: 0.537476019415462
step #20/37	fMin: 153.61422263914852	fMax: 155.0936685606062	fMean: 154.32926295339638	stdev: 0.7499564974843134
step #21/37	fMin: 155.09366856060828	fMax: 157.24468178638352	fMean: 156.21201403126173	stdev: 0.7830371069072645
step #22/37	fMin: 157.24468178638352	fMax: 159.44791349842703	fMean: 158.3054872933746	stdev: 0.964110557655381
step #23/37	fMin: 159.44791349842703	fMax: 160.33224120144706	fMean: 160.04972292920186	stdev: --undefined--
step #24/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #25/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #26/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #27/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #28/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #29/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #30/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #31/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #32/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #33/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #34/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #35/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #36/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #37/37	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #4	label: ìín	start: 49.487194967161685	end: 49.912431249847145
step #1/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #4/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #5/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #6/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #7/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #8/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #9/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #10/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #11/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #12/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #13/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #16/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #18/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #19/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #20/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #21/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #22/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #23/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #24/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #25/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #26/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #27/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #28/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #29/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #30/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #31/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #32/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #33/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #34/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #35/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #36/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #37/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #38/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #39/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #40/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #41/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #42/42	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #6	label: āà	start: 62.986421292606664	end: 63.21040070867763
step #1/22	fMin: 250.34895249392582	fMax: 251.39176847132453	fMean: 250.94496337024785	stdev: 0.5133327463506151
step #2/22	fMin: 244.06850717273534	fMax: 250.5080310020904	fMean: 247.98137675188804	stdev: 2.62678517197942
step #3/22	fMin: 241.8455221176654	fMax: 244.06850717272388	fMean: 242.39292146710346	stdev: 0.8405837941801684
step #4/22	fMin: 240.27675011412316	fMax: 241.9690339599349	fMean: 241.23024958304055	stdev: 0.6656061928342849
step #5/22	fMin: 234.49509034511445	fMax: 240.27675011412316	fMean: 237.75873674964748	stdev: 2.355716391679461
step #6/22	fMin: 228.96919861683745	fMax: 234.49509034511445	fMean: 231.6509020064715	stdev: 2.1671555316828606
step #7/22	fMin: 225.80890156297022	fMax: 228.96919861683176	fMean: 227.29212378974736	stdev: 1.1355403109928435
step #8/22	fMin: 223.19706167898963	fMax: 225.80890156297022	fMean: 224.1722856273864	stdev: 1.0868977124657517
step #9/22	fMin: 220.93672215333302	fMax: 223.19706167898963	fMean: 222.05442312670485	stdev: 0.9482859437059865
step #10/22	fMin: 219.13610890540014	fMax: 220.9367221533306	fMean: 220.24836977547702	stdev: 0.6989396944436258
step #11/22	fMin: 217.12026906117143	fMax: 219.13610890540014	fMean: 218.1850845116224	stdev: 0.7052817039336189
step #12/22	fMin: 213.5816603934725	fMax: 217.12026906117143	fMean: 215.2964485979325	stdev: 1.36753262831201
step #13/22	fMin: 209.6460513343204	fMax: 213.5816603934725	fMean: 211.54847057318312	stdev: 1.5681188795254508
step #14/22	fMin: 203.77971899355336	fMax: 209.64605133431624	fMean: 206.72753609068346	stdev: 2.4966758793663524
step #15/22	fMin: 196.79883595401475	fMax: 203.77971899355336	fMean: 200.56623797336914	stdev: 2.86807570591473
step #16/22	fMin: 196.07932360510446	fMax: 196.79883595401475	fMean: 196.2146539156586	stdev: --undefined--
step #17/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #18/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #19/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #20/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #21/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #22/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #8	label: à	start: 63.40516541830456	end: 63.66809777630092
step #1/26	fMin: 144.589255072384	fMax: 145.0265818559777	fMean: 144.7786302538202	stdev: --undefined--
step #2/26	fMin: 140.19733570590765	fMax: 144.589255072384	fMean: 142.85323392865263	stdev: 1.9425050304950926
step #3/26	fMin: 135.40532046445256	fMax: 140.19733570590563	fMean: 137.72158278063074	stdev: 2.236208362805874
step #4/26	fMin: 128.21280478298937	fMax: 135.40532046445256	fMean: 132.56699692062074	stdev: 3.3084683229218617
step #5/26	fMin: 128.05535163647806	fMax: 128.21280478298937	fMean: 128.1006703902624	stdev: --undefined--
step #6/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #7/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #8/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #9/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #10/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #11/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #12/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #13/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #16/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #18/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #19/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #20/26	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
