start
11 = MKS-20211011-Space_Time_Pronouns_2-M
12 = MKS-20211011-Space_Time_Pronouns_2-M
Pitch object already exists
Pitch object ID is 13
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: à	start: 255.1722820102941	end: 255.40924574034022
step #1/23	fMin: 185.0658612066674	fMax: 185.34223653392675	fMean: 185.27384649220082	stdev: --undefined--
step #2/23	fMin: 184.50321011700348	fMax: 186.22026797909498	fMean: 185.3028905572226	stdev: 0.7647005858588867
step #3/23	fMin: 178.8737922990861	fMax: 185.79049397507507	fMean: 183.37437618788454	stdev: 2.927085644007171
step #4/23	fMin: 173.565343705586	fMax: 178.8737922990861	fMean: 176.20387142024776	stdev: 2.1847992277585044
step #5/23	fMin: 169.42161274993626	fMax: 173.565343705586	fMean: 170.93242194290232	stdev: 1.6288776867205608
step #6/23	fMin: 166.78947439539314	fMax: 169.42161274993626	fMean: 167.865806820906	stdev: 0.9536304069568126
step #7/23	fMin: 163.84714716999449	fMax: 166.78947439539314	fMean: 165.50860076560627	stdev: 1.1595808431025267
step #8/23	fMin: 161.01066001960768	fMax: 163.84714716999449	fMean: 162.5274461725047	stdev: 1.1266357302049068
step #9/23	fMin: 155.70606439596145	fMax: 161.01066001960768	fMean: 158.09769548273178	stdev: 2.003706863700203
step #10/23	fMin: 154.03079453575938	fMax: 155.70606439596145	fMean: 154.87008842056193	stdev: 0.8187454405901256
step #11/23	fMin: 151.9589261082719	fMax: 154.03079453575938	fMean: 152.97011335326346	stdev: 0.74447932811868
step #12/23	fMin: 151.8978375179221	fMax: 152.20385203457107	fMean: 152.07392743361638	stdev: 0.09273751142884236
step #13/23	fMin: 150.04973117814467	fMax: 151.8978375179221	fMean: 150.9336042209407	stdev: 0.7031252924832291
step #14/23	fMin: 149.972279939632	fMax: 150.04973117814467	fMean: 149.99716186095944	stdev: 0.031581178113129785
step #15/23	fMin: 150.00281501521462	fMax: 150.06892349318127	fMean: 150.04090063398445	stdev: 0.026376094763547825
step #16/23	fMin: 148.81350098036907	fMax: 150.0591566172948	fMean: 149.40555830990155	stdev: 0.6828901583586195
step #17/23	fMin: 148.56231042370217	fMax: 148.94002512277984	fMean: 148.70814079849458	stdev: 0.16690928000179386
step #18/23	fMin: 147.5788156041812	fMax: 148.90568605529822	fMean: 148.29571941898988	stdev: 0.6368633097966311
step #19/23	fMin: 144.99933230747465	fMax: 147.57881560416592	fMean: 146.37080888402974	stdev: 1.0018768853561546
step #20/23	fMin: 142.70790062937644	fMax: 144.99933230747465	fMean: 143.80308399100355	stdev: 1.1667112213919313
step #21/23	fMin: 140.94016679344125	fMax: 142.70790062937644	fMean: 141.79704758842644	stdev: 0.6254025129864894
step #22/23	fMin: 133.57615403986182	fMax: 140.94016679342852	fMean: 137.96081885767222	stdev: 3.094174074412285
step #23/23	fMin: 130.0989134453368	fMax: 133.57615403986182	fMean: 131.05644037238716	stdev: 1.3926806051863252
interval #4	label: ì	start: 255.4934231909156	end: 255.79864288890192
step #1/30	fMin: 132.71224437354596	fMax: 141.60716895724684	fMean: 137.28822534658084	stdev: 5.996248531484287
step #2/30	fMin: 131.20195613575868	fMax: 132.71224437354596	fMean: 131.62174758608688	stdev: 0.6745295833354892
step #3/30	fMin: 131.3407189418668	fMax: 132.04065164022427	fMean: 131.69097007089047	stdev: 0.30686293081712984
step #4/30	fMin: 128.99826305191382	fMax: 131.68860535930966	fMean: 130.93794438060385	stdev: 1.030228187250112
step #5/30	fMin: 127.07320269702963	fMax: 128.99826305191382	fMean: 127.32429169540706	stdev: 0.8604165369220301
step #6/30	fMin: 122.5872504305909	fMax: 127.72620801606277	fMean: 124.71275941721532	stdev: 2.239720724567757
step #7/30	fMin: 121.7491166549668	fMax: 124.30658663212834	fMean: 123.41655538829396	stdev: 1.4507150152030786
step #8/30	fMin: 120.90896227217573	fMax: 122.39176755217224	fMean: 121.76279704676028	stdev: 0.6222958519105712
step #9/30	fMin: 115.16216546287558	fMax: 120.90896227216498	fMean: 118.5939135481652	stdev: 2.386139630404612
step #10/30	fMin: 113.99036357303206	fMax: 115.16216546287558	fMean: 114.27519811577575	stdev: --undefined--
step #11/30	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #12/30	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #13/30	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
