Filename,TextGridLabel,duration,structure,word,f0_midpoint,F1_midpoint,F2_midpoint,intensity_midpoint
MKS-20210929-Plants_and_Animals-M_1,y,0.34277785,yíítò,y,--undefined--,1331.558978,1676.556176,38.24134419
MKS-20210929-Plants_and_Animals-M_1,ii,0.123072326,yíítò,ii,203.5967301,389.5198429,2239.93022,70.93306485
MKS-20210929-Plants_and_Animals-M_1,t,0.110437588,yíítò,t,--undefined--,342.5177238,2358.666802,45.81824473
MKS-20210929-Plants_and_Animals-M_1,o,0.092741335,yíítò,o,115.6439068,581.0511144,1164.456447,60.90321952
MKS-20210929-Plants_and_Animals-M_1,y,0.312140304,yííkì,y,--undefined--,1129.349199,2160.65257,41.26476847
MKS-20210929-Plants_and_Animals-M_1,ii,0.127081205,yííkì,ii,219.1325464,418.6003181,2577.440176,69.95289993
MKS-20210929-Plants_and_Animals-M_1,k,0.196644688,yííkì,k,--undefined--,395.3286827,2211.954777,42.95048639
MKS-20210929-Plants_and_Animals-M_1,i,0.126333349,yííkì,i,--undefined--,347.662468,1561.612189,56.13503057
MKS-20210929-Plants_and_Animals-M_1,n,0.22022526,nōònì,n,202.2066228,259.3966371,2128.609371,55.74365125
MKS-20210929-Plants_and_Animals-M_1,oo,0.235123979,nōònì,oo,175.7032183,491.5980915,705.0381695,68.62301557
MKS-20210929-Plants_and_Animals-M_1,n,0.086315846,nōònì,n,150.9544493,369.7891386,1998.714831,64.21187207
MKS-20210929-Plants_and_Animals-M_1,i,0.182967355,nōònì,i,136.9212081,385.2983122,2890.692017,63.75552809
MKS-20210929-Plants_and_Animals-M_1,ndy,0.307239238,ndyúùchì,ndy,--undefined--,342.5101146,1343.594251,56.3151874
MKS-20210929-Plants_and_Animals-M_1,uu,0.130672642,ndyúùchì,uu,233.1426416,429.4960459,906.2113348,64.85923423
MKS-20210929-Plants_and_Animals-M_1,ch,0.263950635,ndyúùchì,ch,--undefined--,2038.494068,2898.117338,50.83073814
MKS-20210929-Plants_and_Animals-M_1,i,0.101257559,ndyúùchì,i,--undefined--,322.5347074,2624.871752,49.13315008
MKS-20210929-Plants_and_Animals-M_1,ii,0.169302137,ííló,ii,198.1456225,372.9809566,2490.129646,62.63839067
MKS-20210929-Plants_and_Animals-M_1,l,0.106825995,ííló,l,194.6004445,397.2934119,1774.126982,60.71177617
MKS-20210929-Plants_and_Animals-M_1,o,0.087566123,ííló,o,189.5415597,588.5513604,1135.990652,63.42929374
